"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","condition","key","correct"
"null","","null","","html-keyboard-response","14","15896","0.0-3.0-1.0-0.3","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","15","16398","0.0-3.0-1.0-1.3","1","znwdv9nnzm7j","d","男性","","","","",""
"512.9999999999964","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","16","16912","0.0-3.0-1.0-2.3","1","znwdv9nnzm7j","d","男性","","","中性","f","1"
"null","","null","","html-keyboard-response","17","17414","0.0-3.0-1.0-0.4","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","18","17915","0.0-3.0-1.0-1.4","1","znwdv9nnzm7j","d","男性","","","","",""
"640","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","19","18555","0.0-3.0-1.0-2.4","1","znwdv9nnzm7j","d","男性","","","不一致","f","1"
"null","","null","","html-keyboard-response","20","19056","0.0-3.0-1.0-0.5","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","21","19558","0.0-3.0-1.0-1.5","1","znwdv9nnzm7j","d","男性","","","","",""
"648.9999999999964","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","22","20208","0.0-3.0-1.0-2.5","1","znwdv9nnzm7j","d","男性","","","中性","j","1"
"null","","null","","html-keyboard-response","23","20709","0.0-3.0-1.0-0.6","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","24","21210","0.0-3.0-1.0-1.6","1","znwdv9nnzm7j","d","男性","","","","",""
"431","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","25","21643","0.0-3.0-1.0-2.6","1","znwdv9nnzm7j","d","男性","","","中性","f","1"
"null","","null","","html-keyboard-response","26","22144","0.0-3.0-1.0-0.7","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","27","22646","0.0-3.0-1.0-1.7","1","znwdv9nnzm7j","d","男性","","","","",""
"561","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","28","23209","0.0-3.0-1.0-2.7","1","znwdv9nnzm7j","d","男性","","","不一致","f","1"
"null","","null","","html-keyboard-response","29","23710","0.0-3.0-1.0-0.8","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","30","24213","0.0-3.0-1.0-1.8","1","znwdv9nnzm7j","d","男性","","","","",""
"399","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","31","24613","0.0-3.0-1.0-2.8","1","znwdv9nnzm7j","d","男性","","","中性","j","1"
"null","","null","","html-keyboard-response","32","25115","0.0-3.0-1.0-0.9","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","33","25616","0.0-3.0-1.0-1.9","1","znwdv9nnzm7j","d","男性","","","","",""
"434.99999999999636","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","34","26053","0.0-3.0-1.0-2.9","1","znwdv9nnzm7j","d","男性","","","一致","f","1"
"null","","null","","html-keyboard-response","35","26555","0.0-3.0-1.0-0.10","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","36","27056","0.0-3.0-1.0-1.10","1","znwdv9nnzm7j","d","男性","","","","",""
"406.00000000000364","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","37","27463","0.0-3.0-1.0-2.10","1","znwdv9nnzm7j","d","男性","","","一致","j","1"
"null","","null","","html-keyboard-response","38","27964","0.0-3.0-1.0-0.11","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","39","28465","0.0-3.0-1.0-1.11","1","znwdv9nnzm7j","d","男性","","","","",""
"558.9999999999964","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","40","29026","0.0-3.0-1.0-2.11","1","znwdv9nnzm7j","d","男性","","","不一致","j","1"
"7208","それでは本番を行います。<br>準備ができたら「f」キーか「j」キーを押して課題を開始してください。","f","instruction","html-keyboard-response","41","36235","0.0-3.0-2.0","1","znwdv9nnzm7j","d","男性","","","","",""
"null","","null","","html-keyboard-response","42","36738","0.0-3.0-3.0-0.0","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","43","37240","0.0-3.0-3.0-1.0","1","znwdv9nnzm7j","d","男性","","","","",""
"488","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","44","37729","0.0-3.0-3.0-2.0","1","znwdv9nnzm7j","d","男性","","","中性","j","1"
"null","","null","","html-keyboard-response","45","38230","0.0-3.0-3.0-0.1","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","46","38731","0.0-3.0-3.0-1.1","1","znwdv9nnzm7j","d","男性","","","","",""
"409.9999999999927","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","47","39142","0.0-3.0-3.0-2.1","1","znwdv9nnzm7j","d","男性","","","中性","f","1"
"null","","null","","html-keyboard-response","48","39644","0.0-3.0-3.0-0.2","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","49","40146","0.0-3.0-3.0-1.2","1","znwdv9nnzm7j","d","男性","","","","",""
"434","<p style=""font-size: 48px"">>><>></p>","j","flanker_main","html-keyboard-response","50","40582","0.0-3.0-3.0-2.2","1","znwdv9nnzm7j","d","男性","","","不一致","f","0"
"null","","null","","html-keyboard-response","51","41083","0.0-3.0-3.0-0.3","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","52","41584","0.0-3.0-3.0-1.3","1","znwdv9nnzm7j","d","男性","","","","",""
"450","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","53","42036","0.0-3.0-3.0-2.3","1","znwdv9nnzm7j","d","男性","","","中性","j","1"
"null","","null","","html-keyboard-response","54","42536","0.0-3.0-3.0-0.4","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","55","43038","0.0-3.0-3.0-1.4","1","znwdv9nnzm7j","d","男性","","","","",""
"498","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","56","43537","0.0-3.0-3.0-2.4","1","znwdv9nnzm7j","d","男性","","","不一致","j","1"
"null","","null","","html-keyboard-response","57","44039","0.0-3.0-3.0-0.5","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","58","44541","0.0-3.0-3.0-1.5","1","znwdv9nnzm7j","d","男性","","","","",""
"467","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","59","45009","0.0-3.0-3.0-2.5","1","znwdv9nnzm7j","d","男性","","","中性","f","1"
"null","","null","","html-keyboard-response","60","45510","0.0-3.0-3.0-0.6","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","61","46012","0.0-3.0-3.0-1.6","1","znwdv9nnzm7j","d","男性","","","","",""
"420","<p style=""font-size: 48px"">>><>></p>","j","flanker_main","html-keyboard-response","62","46434","0.0-3.0-3.0-2.6","1","znwdv9nnzm7j","d","男性","","","不一致","f","0"
"null","","null","","html-keyboard-response","63","46936","0.0-3.0-3.0-0.7","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","64","47438","0.0-3.0-3.0-1.7","1","znwdv9nnzm7j","d","男性","","","","",""
"426","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","65","47865","0.0-3.0-3.0-2.7","1","znwdv9nnzm7j","d","男性","","","一致","j","1"
"null","","null","","html-keyboard-response","66","48367","0.0-3.0-3.0-0.8","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","67","48869","0.0-3.0-3.0-1.8","1","znwdv9nnzm7j","d","男性","","","","",""
"444","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","68","49314","0.0-3.0-3.0-2.8","1","znwdv9nnzm7j","d","男性","","","一致","f","1"
"null","","null","","html-keyboard-response","69","49815","0.0-3.0-3.0-0.9","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","70","50317","0.0-3.0-3.0-1.9","1","znwdv9nnzm7j","d","男性","","","","",""
"415","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","71","50733","0.0-3.0-3.0-2.9","1","znwdv9nnzm7j","d","男性","","","中性","j","1"
"null","","null","","html-keyboard-response","72","51234","0.0-3.0-3.0-0.10","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","73","51736","0.0-3.0-3.0-1.10","1","znwdv9nnzm7j","d","男性","","","","",""
"450","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","74","52187","0.0-3.0-3.0-2.10","1","znwdv9nnzm7j","d","男性","","","一致","j","1"
"null","","null","","html-keyboard-response","75","52689","0.0-3.0-3.0-0.11","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","76","53192","0.0-3.0-3.0-1.11","1","znwdv9nnzm7j","d","男性","","","","",""
"433","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","77","53628","0.0-3.0-3.0-2.11","1","znwdv9nnzm7j","d","男性","","","中性","f","1"
"null","","null","","html-keyboard-response","78","54129","0.0-3.0-3.0-0.12","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","79","54631","0.0-3.0-3.0-1.12","1","znwdv9nnzm7j","d","男性","","","","",""
"428","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","80","55060","0.0-3.0-3.0-2.12","1","znwdv9nnzm7j","d","男性","","","中性","f","1"
"null","","null","","html-keyboard-response","81","55562","0.0-3.0-3.0-0.13","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","82","56064","0.0-3.0-3.0-1.13","1","znwdv9nnzm7j","d","男性","","","","",""
"435.0000000000073","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","83","56500","0.0-3.0-3.0-2.13","1","znwdv9nnzm7j","d","男性","","","一致","j","1"
"null","","null","","html-keyboard-response","84","57002","0.0-3.0-3.0-0.14","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","85","57504","0.0-3.0-3.0-1.14","1","znwdv9nnzm7j","d","男性","","","","",""
"403","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","86","57908","0.0-3.0-3.0-2.14","1","znwdv9nnzm7j","d","男性","","","一致","f","1"
"null","","null","","html-keyboard-response","87","58410","0.0-3.0-3.0-0.15","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","88","58911","0.0-3.0-3.0-1.15","1","znwdv9nnzm7j","d","男性","","","","",""
"416","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","89","59328","0.0-3.0-3.0-2.15","1","znwdv9nnzm7j","d","男性","","","中性","j","1"
"null","","null","","html-keyboard-response","90","59828","0.0-3.0-3.0-0.16","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","91","60328","0.0-3.0-3.0-1.16","1","znwdv9nnzm7j","d","男性","","","","",""
"550","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","92","60879","0.0-3.0-3.0-2.16","1","znwdv9nnzm7j","d","男性","","","不一致","f","1"
"null","","null","","html-keyboard-response","93","61380","0.0-3.0-3.0-0.17","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","94","61881","0.0-3.0-3.0-1.17","1","znwdv9nnzm7j","d","男性","","","","",""
"533.9999999999927","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","95","62416","0.0-3.0-3.0-2.17","1","znwdv9nnzm7j","d","男性","","","不一致","f","1"
"null","","null","","html-keyboard-response","96","62918","0.0-3.0-3.0-0.18","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","97","63418","0.0-3.0-3.0-1.18","1","znwdv9nnzm7j","d","男性","","","","",""
"573","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","98","63992","0.0-3.0-3.0-2.18","1","znwdv9nnzm7j","d","男性","","","中性","f","1"
"null","","null","","html-keyboard-response","99","64494","0.0-3.0-3.0-0.19","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","100","64995","0.0-3.0-3.0-1.19","1","znwdv9nnzm7j","d","男性","","","","",""
"429","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","101","65424","0.0-3.0-3.0-2.19","1","znwdv9nnzm7j","d","男性","","","一致","j","1"
"null","","null","","html-keyboard-response","102","65926","0.0-3.0-3.0-0.20","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","103","66428","0.0-3.0-3.0-1.20","1","znwdv9nnzm7j","d","男性","","","","",""
"553","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","104","66982","0.0-3.0-3.0-2.20","1","znwdv9nnzm7j","d","男性","","","不一致","j","1"
"null","","null","","html-keyboard-response","105","67483","0.0-3.0-3.0-0.21","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","106","67985","0.0-3.0-3.0-1.21","1","znwdv9nnzm7j","d","男性","","","","",""
"458","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","107","68443","0.0-3.0-3.0-2.21","1","znwdv9nnzm7j","d","男性","","","一致","j","1"
"null","","null","","html-keyboard-response","108","68945","0.0-3.0-3.0-0.22","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","109","69446","0.0-3.0-3.0-1.22","1","znwdv9nnzm7j","d","男性","","","","",""
"444.00000000001455","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","110","69892","0.0-3.0-3.0-2.22","1","znwdv9nnzm7j","d","男性","","","一致","j","1"
"null","","null","","html-keyboard-response","111","70394","0.0-3.0-3.0-0.23","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","112","70895","0.0-3.0-3.0-1.23","1","znwdv9nnzm7j","d","男性","","","","",""
"517","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","113","71413","0.0-3.0-3.0-2.23","1","znwdv9nnzm7j","d","男性","","","不一致","j","1"
"null","","null","","html-keyboard-response","114","71914","0.0-3.0-3.0-0.24","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","115","72416","0.0-3.0-3.0-1.24","1","znwdv9nnzm7j","d","男性","","","","",""
"418","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","116","72835","0.0-3.0-3.0-2.24","1","znwdv9nnzm7j","d","男性","","","中性","j","1"
"null","","null","","html-keyboard-response","117","73337","0.0-3.0-3.0-0.25","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","118","73839","0.0-3.0-3.0-1.25","1","znwdv9nnzm7j","d","男性","","","","",""
"512","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","119","74352","0.0-3.0-3.0-2.25","1","znwdv9nnzm7j","d","男性","","","不一致","f","1"
"null","","null","","html-keyboard-response","120","74853","0.0-3.0-3.0-0.26","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","121","75355","0.0-3.0-3.0-1.26","1","znwdv9nnzm7j","d","男性","","","","",""
"425","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","122","75781","0.0-3.0-3.0-2.26","1","znwdv9nnzm7j","d","男性","","","中性","j","1"
"null","","null","","html-keyboard-response","123","76282","0.0-3.0-3.0-0.27","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","124","76784","0.0-3.0-3.0-1.27","1","znwdv9nnzm7j","d","男性","","","","",""
"457","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","125","77241","0.0-3.0-3.0-2.27","1","znwdv9nnzm7j","d","男性","","","中性","f","1"
"null","","null","","html-keyboard-response","126","77742","0.0-3.0-3.0-0.28","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","127","78244","0.0-3.0-3.0-1.28","1","znwdv9nnzm7j","d","男性","","","","",""
"442","<p style=""font-size: 48px""><<><<</p>","f","flanker_main","html-keyboard-response","128","78687","0.0-3.0-3.0-2.28","1","znwdv9nnzm7j","d","男性","","","不一致","j","0"
"null","","null","","html-keyboard-response","129","79188","0.0-3.0-3.0-0.29","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","130","79689","0.0-3.0-3.0-1.29","1","znwdv9nnzm7j","d","男性","","","","",""
"417","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","131","80107","0.0-3.0-3.0-2.29","1","znwdv9nnzm7j","d","男性","","","一致","j","1"
"null","","null","","html-keyboard-response","132","80608","0.0-3.0-3.0-0.30","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","133","81110","0.0-3.0-3.0-1.30","1","znwdv9nnzm7j","d","男性","","","","",""
"457","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","134","81568","0.0-3.0-3.0-2.30","1","znwdv9nnzm7j","d","男性","","","中性","j","1"
"null","","null","","html-keyboard-response","135","82070","0.0-3.0-3.0-0.31","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","136","82571","0.0-3.0-3.0-1.31","1","znwdv9nnzm7j","d","男性","","","","",""
"506","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","137","83079","0.0-3.0-3.0-2.31","1","znwdv9nnzm7j","d","男性","","","一致","f","1"
"null","","null","","html-keyboard-response","138","83580","0.0-3.0-3.0-0.32","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","139","84082","0.0-3.0-3.0-1.32","1","znwdv9nnzm7j","d","男性","","","","",""
"430.00000000001455","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","140","84514","0.0-3.0-3.0-2.32","1","znwdv9nnzm7j","d","男性","","","中性","j","1"
"null","","null","","html-keyboard-response","141","85016","0.0-3.0-3.0-0.33","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","142","85518","0.0-3.0-3.0-1.33","1","znwdv9nnzm7j","d","男性","","","","",""
"503","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","143","86022","0.0-3.0-3.0-2.33","1","znwdv9nnzm7j","d","男性","","","一致","f","1"
"null","","null","","html-keyboard-response","144","86524","0.0-3.0-3.0-0.34","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","145","87025","0.0-3.0-3.0-1.34","1","znwdv9nnzm7j","d","男性","","","","",""
"469","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","146","87495","0.0-3.0-3.0-2.34","1","znwdv9nnzm7j","d","男性","","","不一致","j","1"
"null","","null","","html-keyboard-response","147","87996","0.0-3.0-3.0-0.35","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","148","88497","0.0-3.0-3.0-1.35","1","znwdv9nnzm7j","d","男性","","","","",""
"470","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","149","88968","0.0-3.0-3.0-2.35","1","znwdv9nnzm7j","d","男性","","","不一致","j","1"
"null","","null","","html-keyboard-response","150","89470","0.0-3.0-3.0-0.36","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","151","89971","0.0-3.0-3.0-1.36","1","znwdv9nnzm7j","d","男性","","","","",""
"480","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","152","90452","0.0-3.0-3.0-2.36","1","znwdv9nnzm7j","d","男性","","","不一致","j","1"
"null","","null","","html-keyboard-response","153","90954","0.0-3.0-3.0-0.37","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","154","91455","0.0-3.0-3.0-1.37","1","znwdv9nnzm7j","d","男性","","","","",""
"487","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","155","91944","0.0-3.0-3.0-2.37","1","znwdv9nnzm7j","d","男性","","","一致","f","1"
"null","","null","","html-keyboard-response","156","92445","0.0-3.0-3.0-0.38","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","157","92946","0.0-3.0-3.0-1.38","1","znwdv9nnzm7j","d","男性","","","","",""
"423","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","158","93370","0.0-3.0-3.0-2.38","1","znwdv9nnzm7j","d","男性","","","中性","f","1"
"null","","null","","html-keyboard-response","159","93872","0.0-3.0-3.0-0.39","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","160","94373","0.0-3.0-3.0-1.39","1","znwdv9nnzm7j","d","男性","","","","",""
"449","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","161","94823","0.0-3.0-3.0-2.39","1","znwdv9nnzm7j","d","男性","","","一致","f","1"
"null","","null","","html-keyboard-response","162","95325","0.0-3.0-3.0-0.40","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","163","95826","0.0-3.0-3.0-1.40","1","znwdv9nnzm7j","d","男性","","","","",""
"426","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","164","96253","0.0-3.0-3.0-2.40","1","znwdv9nnzm7j","d","男性","","","一致","f","1"
"null","","null","","html-keyboard-response","165","96754","0.0-3.0-3.0-0.41","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","166","97256","0.0-3.0-3.0-1.41","1","znwdv9nnzm7j","d","男性","","","","",""
"407","<p style=""font-size: 48px"">>><>></p>","j","flanker_main","html-keyboard-response","167","97664","0.0-3.0-3.0-2.41","1","znwdv9nnzm7j","d","男性","","","不一致","f","0"
"null","","null","","html-keyboard-response","168","98166","0.0-3.0-3.0-0.42","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","169","98668","0.0-3.0-3.0-1.42","1","znwdv9nnzm7j","d","男性","","","","",""
"479.99999999998545","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","170","99148","0.0-3.0-3.0-2.42","1","znwdv9nnzm7j","d","男性","","","一致","f","1"
"null","","null","","html-keyboard-response","171","99650","0.0-3.0-3.0-0.43","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","172","100152","0.0-3.0-3.0-1.43","1","znwdv9nnzm7j","d","男性","","","","",""
"500","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","173","100652","0.0-3.0-3.0-2.43","1","znwdv9nnzm7j","d","男性","","","不一致","j","1"
