"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","condition","key","correct"
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","15","17027","0.0-3.0-1.0-1.3","1","vt567bbuv005"," ","女性","","","","",""
"605","<p style=""font-size: 48px""><<<<<</p>","f","flanker","html-keyboard-response","16","17633","0.0-3.0-1.0-2.3","1","vt567bbuv005"," ","女性","","","一致","f","1"
"null","","null","","html-keyboard-response","17","18134","0.0-3.0-1.0-0.4","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","18","18635","0.0-3.0-1.0-1.4","1","vt567bbuv005"," ","女性","","","","",""
"459","<p style=""font-size: 48px"">--<--</p>","f","flanker","html-keyboard-response","19","19095","0.0-3.0-1.0-2.4","1","vt567bbuv005"," ","女性","","","中性","f","1"
"null","","null","","html-keyboard-response","20","19597","0.0-3.0-1.0-0.5","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","21","20099","0.0-3.0-1.0-1.5","1","vt567bbuv005"," ","女性","","","","",""
"488","<p style=""font-size: 48px"">>>>>></p>","j","flanker","html-keyboard-response","22","20588","0.0-3.0-1.0-2.5","1","vt567bbuv005"," ","女性","","","一致","j","1"
"null","","null","","html-keyboard-response","23","21089","0.0-3.0-1.0-0.6","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","24","21591","0.0-3.0-1.0-1.6","1","vt567bbuv005"," ","女性","","","","",""
"469","<p style=""font-size: 48px"">>>>>></p>","j","flanker","html-keyboard-response","25","22060","0.0-3.0-1.0-2.6","1","vt567bbuv005"," ","女性","","","一致","j","1"
"null","","null","","html-keyboard-response","26","22562","0.0-3.0-1.0-0.7","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","27","23064","0.0-3.0-1.0-1.7","1","vt567bbuv005"," ","女性","","","","",""
"492","<p style=""font-size: 48px""><<<<<</p>","f","flanker","html-keyboard-response","28","23558","0.0-3.0-1.0-2.7","1","vt567bbuv005"," ","女性","","","一致","f","1"
"null","","null","","html-keyboard-response","29","24059","0.0-3.0-1.0-0.8","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","30","24561","0.0-3.0-1.0-1.8","1","vt567bbuv005"," ","女性","","","","",""
"589","<p style=""font-size: 48px"">>><>></p>","f","flanker","html-keyboard-response","31","25151","0.0-3.0-1.0-2.8","1","vt567bbuv005"," ","女性","","","不一致","f","1"
"null","","null","","html-keyboard-response","32","25652","0.0-3.0-1.0-0.9","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","33","26154","0.0-3.0-1.0-1.9","1","vt567bbuv005"," ","女性","","","","",""
"613","<p style=""font-size: 48px"">>><>></p>","f","flanker","html-keyboard-response","34","26768","0.0-3.0-1.0-2.9","1","vt567bbuv005"," ","女性","","","不一致","f","1"
"null","","null","","html-keyboard-response","35","27269","0.0-3.0-1.0-0.10","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","36","27771","0.0-3.0-1.0-1.10","1","vt567bbuv005"," ","女性","","","","",""
"558","<p style=""font-size: 48px""><<><<</p>","j","flanker","html-keyboard-response","37","28330","0.0-3.0-1.0-2.10","1","vt567bbuv005"," ","女性","","","不一致","j","1"
"null","","null","","html-keyboard-response","38","28831","0.0-3.0-1.0-0.11","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","39","29333","0.0-3.0-1.0-1.11","1","vt567bbuv005"," ","女性","","","","",""
"537.0000000000036","<p style=""font-size: 48px""><<><<</p>","j","flanker","html-keyboard-response","40","29871","0.0-3.0-1.0-2.11","1","vt567bbuv005"," ","女性","","","不一致","j","1"
"5158","それでは本番を行います。<br>準備ができたら「f」キーか「j」キーを押して課題を開始してください。","f","instruction","html-keyboard-response","41","35029","0.0-3.0-2.0","1","vt567bbuv005"," ","女性","","","","",""
"null","","null","","html-keyboard-response","42","35530","0.0-3.0-3.0-0.0","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","43","36032","0.0-3.0-3.0-1.0","1","vt567bbuv005"," ","女性","","","","",""
"443","<p style=""font-size: 48px"">>>>>></p>","j","flanker","html-keyboard-response","44","36476","0.0-3.0-3.0-2.0","1","vt567bbuv005"," ","女性","","","一致","j","1"
"null","","null","","html-keyboard-response","45","36978","0.0-3.0-3.0-0.1","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","46","37479","0.0-3.0-3.0-1.1","1","vt567bbuv005"," ","女性","","","","",""
"434","<p style=""font-size: 48px"">>>>>></p>","j","flanker","html-keyboard-response","47","37914","0.0-3.0-3.0-2.1","1","vt567bbuv005"," ","女性","","","一致","j","1"
"null","","null","","html-keyboard-response","48","38415","0.0-3.0-3.0-0.2","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","49","38917","0.0-3.0-3.0-1.2","1","vt567bbuv005"," ","女性","","","","",""
"480","<p style=""font-size: 48px"">--<--</p>","f","flanker","html-keyboard-response","50","39399","0.0-3.0-3.0-2.2","1","vt567bbuv005"," ","女性","","","中性","f","1"
"null","","null","","html-keyboard-response","51","39900","0.0-3.0-3.0-0.3","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","52","40401","0.0-3.0-3.0-1.3","1","vt567bbuv005"," ","女性","","","","",""
"478","<p style=""font-size: 48px"">--<--</p>","f","flanker","html-keyboard-response","53","40879","0.0-3.0-3.0-2.3","1","vt567bbuv005"," ","女性","","","中性","f","1"
"null","","null","","html-keyboard-response","54","41380","0.0-3.0-3.0-0.4","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","55","41881","0.0-3.0-3.0-1.4","1","vt567bbuv005"," ","女性","","","","",""
"483","<p style=""font-size: 48px"">-->--</p>","j","flanker","html-keyboard-response","56","42366","0.0-3.0-3.0-2.4","1","vt567bbuv005"," ","女性","","","中性","j","1"
"null","","null","","html-keyboard-response","57","42867","0.0-3.0-3.0-0.5","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","58","43369","0.0-3.0-3.0-1.5","1","vt567bbuv005"," ","女性","","","","",""
"442","<p style=""font-size: 48px"">-->--</p>","j","flanker","html-keyboard-response","59","43812","0.0-3.0-3.0-2.5","1","vt567bbuv005"," ","女性","","","中性","j","1"
"null","","null","","html-keyboard-response","60","44314","0.0-3.0-3.0-0.6","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","61","44816","0.0-3.0-3.0-1.6","1","vt567bbuv005"," ","女性","","","","",""
"442","<p style=""font-size: 48px""><<<<<</p>","f","flanker","html-keyboard-response","62","45259","0.0-3.0-3.0-2.6","1","vt567bbuv005"," ","女性","","","一致","f","1"
"null","","null","","html-keyboard-response","63","45761","0.0-3.0-3.0-0.7","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","64","46263","0.0-3.0-3.0-1.7","1","vt567bbuv005"," ","女性","","","","",""
"451","<p style=""font-size: 48px"">-->--</p>","j","flanker","html-keyboard-response","65","46715","0.0-3.0-3.0-2.7","1","vt567bbuv005"," ","女性","","","中性","j","1"
"null","","null","","html-keyboard-response","66","47216","0.0-3.0-3.0-0.8","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","67","47718","0.0-3.0-3.0-1.8","1","vt567bbuv005"," ","女性","","","","",""
"450","<p style=""font-size: 48px""><<<<<</p>","f","flanker","html-keyboard-response","68","48169","0.0-3.0-3.0-2.8","1","vt567bbuv005"," ","女性","","","一致","f","1"
"null","","null","","html-keyboard-response","69","48671","0.0-3.0-3.0-0.9","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","70","49173","0.0-3.0-3.0-1.9","1","vt567bbuv005"," ","女性","","","","",""
"504","<p style=""font-size: 48px""><<><<</p>","j","flanker","html-keyboard-response","71","49677","0.0-3.0-3.0-2.9","1","vt567bbuv005"," ","女性","","","不一致","j","1"
"null","","null","","html-keyboard-response","72","50178","0.0-3.0-3.0-0.10","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","73","50679","0.0-3.0-3.0-1.10","1","vt567bbuv005"," ","女性","","","","",""
"423","<p style=""font-size: 48px"">>>>>></p>","j","flanker","html-keyboard-response","74","51103","0.0-3.0-3.0-2.10","1","vt567bbuv005"," ","女性","","","一致","j","1"
"null","","null","","html-keyboard-response","75","51604","0.0-3.0-3.0-0.11","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","76","52107","0.0-3.0-3.0-1.11","1","vt567bbuv005"," ","女性","","","","",""
"400","<p style=""font-size: 48px"">>>>>></p>","j","flanker","html-keyboard-response","77","52508","0.0-3.0-3.0-2.11","1","vt567bbuv005"," ","女性","","","一致","j","1"
"null","","null","","html-keyboard-response","78","53009","0.0-3.0-3.0-0.12","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","79","53511","0.0-3.0-3.0-1.12","1","vt567bbuv005"," ","女性","","","","",""
"556","<p style=""font-size: 48px""><<><<</p>","j","flanker","html-keyboard-response","80","54068","0.0-3.0-3.0-2.12","1","vt567bbuv005"," ","女性","","","不一致","j","1"
"null","","null","","html-keyboard-response","81","54569","0.0-3.0-3.0-0.13","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","82","55070","0.0-3.0-3.0-1.13","1","vt567bbuv005"," ","女性","","","","",""
"452","<p style=""font-size: 48px"">--<--</p>","f","flanker","html-keyboard-response","83","55523","0.0-3.0-3.0-2.13","1","vt567bbuv005"," ","女性","","","中性","f","1"
"null","","null","","html-keyboard-response","84","56024","0.0-3.0-3.0-0.14","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","85","56526","0.0-3.0-3.0-1.14","1","vt567bbuv005"," ","女性","","","","",""
"457","<p style=""font-size: 48px""><<<<<</p>","f","flanker","html-keyboard-response","86","56984","0.0-3.0-3.0-2.14","1","vt567bbuv005"," ","女性","","","一致","f","1"
"null","","null","","html-keyboard-response","87","57485","0.0-3.0-3.0-0.15","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","88","57987","0.0-3.0-3.0-1.15","1","vt567bbuv005"," ","女性","","","","",""
"538","<p style=""font-size: 48px""><<><<</p>","j","flanker","html-keyboard-response","89","58527","0.0-3.0-3.0-2.15","1","vt567bbuv005"," ","女性","","","不一致","j","1"
"null","","null","","html-keyboard-response","90","59027","0.0-3.0-3.0-0.16","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","91","59529","0.0-3.0-3.0-1.16","1","vt567bbuv005"," ","女性","","","","",""
"509","<p style=""font-size: 48px"">>><>></p>","j","flanker","html-keyboard-response","92","60039","0.0-3.0-3.0-2.16","1","vt567bbuv005"," ","女性","","","不一致","f","0"
"null","","null","","html-keyboard-response","93","60539","0.0-3.0-3.0-0.17","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","94","61040","0.0-3.0-3.0-1.17","1","vt567bbuv005"," ","女性","","","","",""
"462","<p style=""font-size: 48px"">-->--</p>","j","flanker","html-keyboard-response","95","61503","0.0-3.0-3.0-2.17","1","vt567bbuv005"," ","女性","","","中性","j","1"
"null","","null","","html-keyboard-response","96","62003","0.0-3.0-3.0-0.18","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","97","62505","0.0-3.0-3.0-1.18","1","vt567bbuv005"," ","女性","","","","",""
"495","<p style=""font-size: 48px""><<<<<</p>","f","flanker","html-keyboard-response","98","63001","0.0-3.0-3.0-2.18","1","vt567bbuv005"," ","女性","","","一致","f","1"
"null","","null","","html-keyboard-response","99","63503","0.0-3.0-3.0-0.19","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","100","64004","0.0-3.0-3.0-1.19","1","vt567bbuv005"," ","女性","","","","",""
"434.99999999998545","<p style=""font-size: 48px"">>>>>></p>","j","flanker","html-keyboard-response","101","64440","0.0-3.0-3.0-2.19","1","vt567bbuv005"," ","女性","","","一致","j","1"
"null","","null","","html-keyboard-response","102","64942","0.0-3.0-3.0-0.20","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","103","65444","0.0-3.0-3.0-1.20","1","vt567bbuv005"," ","女性","","","","",""
"563.0000000000146","<p style=""font-size: 48px""><<><<</p>","j","flanker","html-keyboard-response","104","66008","0.0-3.0-3.0-2.20","1","vt567bbuv005"," ","女性","","","不一致","j","1"
"null","","null","","html-keyboard-response","105","66509","0.0-3.0-3.0-0.21","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","106","67010","0.0-3.0-3.0-1.21","1","vt567bbuv005"," ","女性","","","","",""
"424","<p style=""font-size: 48px"">-->--</p>","j","flanker","html-keyboard-response","107","67437","0.0-3.0-3.0-2.21","1","vt567bbuv005"," ","女性","","","中性","j","1"
"null","","null","","html-keyboard-response","108","67937","0.0-3.0-3.0-0.22","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","109","68439","0.0-3.0-3.0-1.22","1","vt567bbuv005"," ","女性","","","","",""
"508","<p style=""font-size: 48px"">>><>></p>","f","flanker","html-keyboard-response","110","68948","0.0-3.0-3.0-2.22","1","vt567bbuv005"," ","女性","","","不一致","f","1"
"null","","null","","html-keyboard-response","111","69450","0.0-3.0-3.0-0.23","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","112","69952","0.0-3.0-3.0-1.23","1","vt567bbuv005"," ","女性","","","","",""
"440","<p style=""font-size: 48px"">>>>>></p>","j","flanker","html-keyboard-response","113","70393","0.0-3.0-3.0-2.23","1","vt567bbuv005"," ","女性","","","一致","j","1"
"null","","null","","html-keyboard-response","114","70893","0.0-3.0-3.0-0.24","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","115","71394","0.0-3.0-3.0-1.24","1","vt567bbuv005"," ","女性","","","","",""
"530.9999999999854","<p style=""font-size: 48px""><<><<</p>","j","flanker","html-keyboard-response","116","71926","0.0-3.0-3.0-2.24","1","vt567bbuv005"," ","女性","","","不一致","j","1"
"null","","null","","html-keyboard-response","117","72427","0.0-3.0-3.0-0.25","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","118","72929","0.0-3.0-3.0-1.25","1","vt567bbuv005"," ","女性","","","","",""
"436","<p style=""font-size: 48px"">-->--</p>","j","flanker","html-keyboard-response","119","73366","0.0-3.0-3.0-2.25","1","vt567bbuv005"," ","女性","","","中性","j","1"
"null","","null","","html-keyboard-response","120","73867","0.0-3.0-3.0-0.26","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","121","74369","0.0-3.0-3.0-1.26","1","vt567bbuv005"," ","女性","","","","",""
"574.9999999999854","<p style=""font-size: 48px"">>><>></p>","f","flanker","html-keyboard-response","122","74946","0.0-3.0-3.0-2.26","1","vt567bbuv005"," ","女性","","","不一致","f","1"
"null","","null","","html-keyboard-response","123","75448","0.0-3.0-3.0-0.27","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","124","75950","0.0-3.0-3.0-1.27","1","vt567bbuv005"," ","女性","","","","",""
"551.0000000000146","<p style=""font-size: 48px"">>><>></p>","f","flanker","html-keyboard-response","125","76502","0.0-3.0-3.0-2.27","1","vt567bbuv005"," ","女性","","","不一致","f","1"
"null","","null","","html-keyboard-response","126","77004","0.0-3.0-3.0-0.28","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","127","77505","0.0-3.0-3.0-1.28","1","vt567bbuv005"," ","女性","","","","",""
"454","<p style=""font-size: 48px"">-->--</p>","j","flanker","html-keyboard-response","128","77961","0.0-3.0-3.0-2.28","1","vt567bbuv005"," ","女性","","","中性","j","1"
"null","","null","","html-keyboard-response","129","78462","0.0-3.0-3.0-0.29","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","130","78963","0.0-3.0-3.0-1.29","1","vt567bbuv005"," ","女性","","","","",""
"465","<p style=""font-size: 48px""><<<<<</p>","f","flanker","html-keyboard-response","131","79429","0.0-3.0-3.0-2.29","1","vt567bbuv005"," ","女性","","","一致","f","1"
"null","","null","","html-keyboard-response","132","79931","0.0-3.0-3.0-0.30","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","133","80433","0.0-3.0-3.0-1.30","1","vt567bbuv005"," ","女性","","","","",""
"542","<p style=""font-size: 48px"">>><>></p>","f","flanker","html-keyboard-response","134","80976","0.0-3.0-3.0-2.30","1","vt567bbuv005"," ","女性","","","不一致","f","1"
"null","","null","","html-keyboard-response","135","81478","0.0-3.0-3.0-0.31","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","136","81979","0.0-3.0-3.0-1.31","1","vt567bbuv005"," ","女性","","","","",""
"490","<p style=""font-size: 48px"">--<--</p>","f","flanker","html-keyboard-response","137","82470","0.0-3.0-3.0-2.31","1","vt567bbuv005"," ","女性","","","中性","f","1"
"null","","null","","html-keyboard-response","138","82972","0.0-3.0-3.0-0.32","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","139","83474","0.0-3.0-3.0-1.32","1","vt567bbuv005"," ","女性","","","","",""
"471","<p style=""font-size: 48px"">--<--</p>","f","flanker","html-keyboard-response","140","83945","0.0-3.0-3.0-2.32","1","vt567bbuv005"," ","女性","","","中性","f","1"
"null","","null","","html-keyboard-response","141","84446","0.0-3.0-3.0-0.33","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","142","84948","0.0-3.0-3.0-1.33","1","vt567bbuv005"," ","女性","","","","",""
"433","<p style=""font-size: 48px"">>>>>></p>","j","flanker","html-keyboard-response","143","85382","0.0-3.0-3.0-2.33","1","vt567bbuv005"," ","女性","","","一致","j","1"
"null","","null","","html-keyboard-response","144","85883","0.0-3.0-3.0-0.34","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","145","86385","0.0-3.0-3.0-1.34","1","vt567bbuv005"," ","女性","","","","",""
"478.99999999998545","<p style=""font-size: 48px"">--<--</p>","f","flanker","html-keyboard-response","146","86865","0.0-3.0-3.0-2.34","1","vt567bbuv005"," ","女性","","","中性","f","1"
"null","","null","","html-keyboard-response","147","87367","0.0-3.0-3.0-0.35","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","148","87868","0.0-3.0-3.0-1.35","1","vt567bbuv005"," ","女性","","","","",""
"583","<p style=""font-size: 48px"">>><>></p>","f","flanker","html-keyboard-response","149","88452","0.0-3.0-3.0-2.35","1","vt567bbuv005"," ","女性","","","不一致","f","1"
"null","","null","","html-keyboard-response","150","88953","0.0-3.0-3.0-0.36","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","151","89455","0.0-3.0-3.0-1.36","1","vt567bbuv005"," ","女性","","","","",""
"526","<p style=""font-size: 48px"">--<--</p>","f","flanker","html-keyboard-response","152","89981","0.0-3.0-3.0-2.36","1","vt567bbuv005"," ","女性","","","中性","f","1"
"null","","null","","html-keyboard-response","153","90483","0.0-3.0-3.0-0.37","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","154","90985","0.0-3.0-3.0-1.37","1","vt567bbuv005"," ","女性","","","","",""
"536","<p style=""font-size: 48px""><<><<</p>","j","flanker","html-keyboard-response","155","91521","0.0-3.0-3.0-2.37","1","vt567bbuv005"," ","女性","","","不一致","j","1"
"null","","null","","html-keyboard-response","156","92022","0.0-3.0-3.0-0.38","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","157","92524","0.0-3.0-3.0-1.38","1","vt567bbuv005"," ","女性","","","","",""
"519","<p style=""font-size: 48px"">>><>></p>","f","flanker","html-keyboard-response","158","93044","0.0-3.0-3.0-2.38","1","vt567bbuv005"," ","女性","","","不一致","f","1"
"null","","null","","html-keyboard-response","159","93544","0.0-3.0-3.0-0.39","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","160","94046","0.0-3.0-3.0-1.39","1","vt567bbuv005"," ","女性","","","","",""
"537","<p style=""font-size: 48px"">>><>></p>","f","flanker","html-keyboard-response","161","94584","0.0-3.0-3.0-2.39","1","vt567bbuv005"," ","女性","","","不一致","f","1"
"null","","null","","html-keyboard-response","162","95085","0.0-3.0-3.0-0.40","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","163","95587","0.0-3.0-3.0-1.40","1","vt567bbuv005"," ","女性","","","","",""
"531","<p style=""font-size: 48px""><<><<</p>","j","flanker","html-keyboard-response","164","96120","0.0-3.0-3.0-2.40","1","vt567bbuv005"," ","女性","","","不一致","j","1"
"null","","null","","html-keyboard-response","165","96622","0.0-3.0-3.0-0.41","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","166","97124","0.0-3.0-3.0-1.41","1","vt567bbuv005"," ","女性","","","","",""
"427","<p style=""font-size: 48px"">--<--</p>","f","flanker","html-keyboard-response","167","97552","0.0-3.0-3.0-2.41","1","vt567bbuv005"," ","女性","","","中性","f","1"
"null","","null","","html-keyboard-response","168","98053","0.0-3.0-3.0-0.42","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","169","98555","0.0-3.0-3.0-1.42","1","vt567bbuv005"," ","女性","","","","",""
"522","<p style=""font-size: 48px""><<<<<</p>","f","flanker","html-keyboard-response","170","99078","0.0-3.0-3.0-2.42","1","vt567bbuv005"," ","女性","","","一致","f","1"
"null","","null","","html-keyboard-response","171","99580","0.0-3.0-3.0-0.43","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","172","100082","0.0-3.0-3.0-1.43","1","vt567bbuv005"," ","女性","","","","",""
"463","<p style=""font-size: 48px"">-->--</p>","j","flanker","html-keyboard-response","173","100546","0.0-3.0-3.0-2.43","1","vt567bbuv005"," ","女性","","","中性","j","1"
"null","","null","","html-keyboard-response","174","101047","0.0-3.0-3.0-0.44","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","175","101549","0.0-3.0-3.0-1.44","1","vt567bbuv005"," ","女性","","","","",""
"431","<p style=""font-size: 48px""><<<<<</p>","f","flanker","html-keyboard-response","176","101981","0.0-3.0-3.0-2.44","1","vt567bbuv005"," ","女性","","","一致","f","1"
"null","","null","","html-keyboard-response","177","102481","0.0-3.0-3.0-0.45","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","178","102983","0.0-3.0-3.0-1.45","1","vt567bbuv005"," ","女性","","","","",""
"575","<p style=""font-size: 48px"">>><>></p>","f","flanker","html-keyboard-response","179","103559","0.0-3.0-3.0-2.45","1","vt567bbuv005"," ","女性","","","不一致","f","1"
"null","","null","","html-keyboard-response","180","104060","0.0-3.0-3.0-0.46","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","181","104561","0.0-3.0-3.0-1.46","1","vt567bbuv005"," ","女性","","","","",""
